Engineering Strain (unitless),Engineering Stress (Pa)
0.0466,46153846.15384615
0.0467,46153846.15384615
0.0467,46153846.15384615
0.046799999999999994,46153846.15384615
0.046900000000000004,46153846.15384615
0.046900000000000004,46153846.15384615
0.047,46153846.15384615
0.047,46153846.15384615
0.0471,46153846.15384615
0.0471,45897435.897435896
0.0472,45897435.897435896
0.0472,45897435.897435896
0.0473,45897435.897435896
0.047400000000000005,45897435.897435896
0.047400000000000005,45897435.897435896
0.0475,45897435.897435896
0.0475,45897435.897435896
0.047599999999999996,45897435.897435896
0.047599999999999996,45897435.897435896
0.04769999999999999,45897435.897435896
0.0478,45897435.897435896
0.0478,45897435.897435896
0.0479,45897435.897435896
0.0479,45897435.897435896
0.048,45897435.897435896
0.048,45897435.897435896
0.0481,45897435.897435896
0.0482,45897435.897435896
0.0482,45897435.897435896
0.0483,45897435.897435896
0.0483,45897435.897435896
0.0484,45897435.897435896
0.0484,45641025.64102564
0.048499999999999995,45641025.64102564
0.048600000000000004,45641025.64102564
0.048600000000000004,45641025.64102564
0.0487,45641025.64102564
0.0487,45641025.64102564
0.048799999999999996,45641025.64102564
0.048799999999999996,45641025.64102564
0.0489,45641025.64102564
0.049,45641025.64102564
0.049,45641025.64102564
0.049100000000000005,45641025.64102564
0.049100000000000005,45641025.64102564
0.0492,45384615.384615384
0.0492,45384615.384615384
0.0493,45384615.384615384
0.049400000000000006,45384615.384615384
0.049400000000000006,45384615.384615384
0.0495,45384615.384615384
0.0495,45384615.384615384
0.0496,45384615.384615384
0.0496,45384615.384615384
0.049699999999999994,45384615.384615384
0.049800000000000004,45128205.12820513
0.049800000000000004,45128205.12820513
0.0499,45128205.12820513
0.0499,45128205.12820513
0.05,45128205.12820513
0.05,45128205.12820513
0.0501,45128205.12820513
0.0501,45128205.12820513
0.050199999999999995,45128205.12820513
0.050300000000000004,44871794.87179487
0.050300000000000004,44871794.87179487
0.0504,44871794.87179487
0.0504,44871794.87179487
0.050499999999999996,44871794.87179487
0.050499999999999996,44871794.87179487
0.0506,44871794.87179487
0.0507,44871794.87179487
0.0507,44871794.87179487
0.0508,44615384.615384616
0.0508,44615384.615384616
0.0509,44615384.615384616
0.051,44615384.615384616
0.051,44615384.615384616
0.051100000000000007,44615384.615384616
0.051100000000000007,44615384.615384616
0.0512,44615384.615384616
0.0512,44358974.35897436
0.0513,44358974.35897436
0.0513,44358974.35897436
0.051399999999999994,44358974.35897436
0.051500000000000004,44358974.35897436
0.051500000000000004,44358974.35897436
0.0516,44358974.35897436
0.0516,44358974.35897436
0.051699999999999996,44102564.102564104
0.0518,44102564.102564104
0.0518,44102564.102564104
0.0519,44102564.102564104
0.0519,44102564.102564104
0.052000000000000005,44102564.102564104
0.052000000000000005,44102564.102564104
0.0521,43846153.84615385
0.052199999999999996,43846153.84615385
0.052199999999999996,43846153.84615385
0.052300000000000006,43846153.84615385
0.052300000000000006,43846153.84615385
0.0524,43846153.84615385
0.0524,43846153.84615385
0.0525,43589743.58974359
0.0526,43589743.58974359
0.0526,43589743.58974359
